GEOID,Submarket
04013422401,Gilbert
04013422402,Gilbert
04013422403,Gilbert
04013422304,Chandler
04013422305,Gilbert
04013422404,Gilbert
04013422503,Mesa - East
04013422504,Mesa - East
04013422506,Gilbert
04013422507,Gilbert
04013422508,Gilbert
04013422509,Gilbert
04013422510,Gilbert
04013422001,Mesa - West
04013422002,Mesa - West
04013422512,Gilbert
04013422514,Mesa - East
04013940700,Maricopa County - West
04013422607,Mesa - East
04013422615,Mesa - East
04013422617,Mesa - Airport
04013422618,Mesa - Airport
04013523002,Chandler
04013523005,Chandler
04013616400,Phoenix - Deer Valley
04021000206,Queen Creek
04021000212,Queen Creek
04021001407,Casa Grande
04021001404,Casa Grande
04021001709,Maricopa - West
04021001705,Maricopa - West
04013082204,Phoenix - Maryvale
04013082206,Phoenix - Maryvale
04013082207,Phoenix - Maryvale
04013082209,Phoenix - Maryvale
04013082210,Phoenix - Maryvale
04013082211,Phoenix - Maryvale
04013092311,Glendale - South
04013092312,Glendale - South
04013616600,Phoenix - Deer Valley
04013619000,Phoenix - Paradise Valley West
04013616700,Phoenix - Deer Valley
04013616800,Phoenix - Paradise Valley West
04013617400,Surprise
04013617500,Peoria
04013617600,Peoria
04013615100,Phoenix - Paradise Valley Village
04013616100,Phoenix - Deer Valley
04013616900,Phoenix - Paradise Valley West
04013617200,Phoenix - Paradise Valley Village
04013092719,Glendale - South
04013092721,Glendale - South
04013092801,Glendale - South
04013103219,Phoenix - Paradise Valley Village
04013103220,Phoenix - Paradise Valley Village
04013103701,Phoenix - Sunnyslope
04013103702,Phoenix - Sunnyslope
04013617700,Glendale - North
04013617800,Glendale - North
04013617900,Glendale - North
04013618100,Phoenix - Deer Valley
04013618200,Phoenix - Deer Valley
04013618500,Phoenix - Deer Valley
04013618600,Phoenix - Deer Valley
04013618800,Phoenix - Deer Valley
04013812100,Chandler
04013112510,Phoenix - Maryvale
04013617300,Phoenix - Paradise Valley Village
04013811300,Chandler
04013812400,Chandler
04013813000,Chandler
04013107601,Phoenix - East Uptown
04013812300,Chandler
04013812500,Chandler
04013812600,Chandler
04013812700,Chandler
04013615500,Peoria
04013104402,Phoenix - The Village
04013104701,Phoenix - Sunnyslope
04013104702,Phoenix - Sunnyslope
04013105003,Phoenix - Paradise Valley Village
04013112512,Phoenix - Maryvale
04013812900,Chandler
04013813100,Chandler
04013813300,Chandler
04013813400,Chandler
04013813500,Chandler
04013813700,Chandler
04013105004,Phoenix - Paradise Valley Village
04013106002,Phoenix - The Village
04013106003,Phoenix - The Village
04013106502,Phoenix - East Uptown
04013106701,Phoenix - West Uptown
04013106703,Phoenix - West Uptown
04013106802,Phoenix - West Uptown
04013107602,Phoenix - East Uptown
04013108301,Phoenix - East Camelback Village
04013814000,Chandler
04013108501,Phoenix - East Camelback Village
04013112514,Phoenix - Maryvale
04013619200,Phoenix - Paradise Valley West
04013619300,Phoenix - Paradise Valley West
04013619400,Phoenix - Paradise Valley West
04013619500,Phoenix - Paradise Valley West
04013813900,Chandler
04013814100,Chandler
04013109002,Phoenix - West Uptown
04013814400,Gilbert
04013814500,Gilbert
04013814700,Gilbert
04013422620,Gilbert
04013422621,Gilbert
04013108502,Phoenix - East Camelback Village
04013109001,Phoenix - Maryvale
04013109003,Phoenix - West Uptown
04013110802,Phoenix - East Camelback Village
04013109102,Phoenix - Maryvale
04013110501,Phoenix - Midtown
04013110502,Phoenix - Midtown
04013422623,Gilbert
04013422632,Mesa - East
04013420402,Mesa - West
04013110901,Phoenix - East Camelback Village
04013116731,Phoenix - Ahwatukee Foothills
04013117000,Phoenix - Midtown
04013619700,Phoenix - Paradise Valley Village
04013619800,Phoenix - Paradise Valley Village
04013619900,Phoenix - Paradise Valley Village
04013810000,Tempe - South
04013810100,Tempe - South
04013810300,Chandler
04013422636,Mesa - East
04013422637,Mesa - East
04013050611,Buckeye
04013105502,Phoenix - The Village
04013030401,Maricopa County - East
04013040529,Surprise
04013061017,Goodyear
04013061034,Surprise
04013105501,Phoenix - The Village
04013217203,Scottsdale - South
04013106702,Phoenix - West Uptown
04013040531,Surprise
04013811700,Chandler
04013810400,Chandler
04013810500,Chandler
04013810600,Chandler
04013810800,Chandler
04013810900,Chandler
04013811000,Chandler
04013811100,Chandler
04013811500,Chandler
04013811600,Chandler
04013110100,Phoenix - Maryvale
04013422638,Mesa - East
04013422640,Mesa - Airport
04013814900,Gilbert
04013815000,Gilbert
04013815100,Gilbert
04013815300,Gilbert
04013071509,Peoria
04013071506,Peoria
04013071511,Glendale - North
04013082012,Phoenix - Maryvale
04013105601,Phoenix - The Village
04013105702,Phoenix - The Village
04013421102,Mesa - West
04013421801,Mesa - East
04013421802,Mesa - East
04013421902,Mesa - West
04013105800,Phoenix - The Village
04013105400,Phoenix - West Uptown
04013105900,Phoenix - The Village
04013106100,Phoenix - West Uptown
04013106200,Phoenix - West Uptown
04013106300,Phoenix - East Uptown
04013110002,Phoenix - Maryvale
04013110400,Phoenix - Midtown
04013617002,Phoenix - Paradise Valley West
04013110600,Phoenix - Midtown
04013110701,Phoenix - Midtown
04013110702,Phoenix - East Camelback Village
04013216820,Fountain Hills
04013071513,Peoria
04013421302,Mesa - West
04013092309,Glendale - South
04013092500,Glendale - South
04013092305,Glendale - South
04013092307,Glendale - South
04013092308,Glendale - South
04013092600,Glendale - South
04013216807,Scottsdale - North
04013071903,Peoria
04013071906,Peoria
04013092705,Glendale - South
04013092708,Peoria
04013092711,Glendale - South
04013092712,Glendale - South
04013112502,Phoenix - Maryvale
04013610902,Peoria
04013422653,Mesa - East
04013422654,Mesa - Airport
04013082212,Phoenix - Maryvale
04013040541,Buckeye
04013010104,Maricopa County - East
04013816904,Queen Creek
04013816005,Gilbert
04013422647,Mesa - Airport
04013422657,Gilbert
04013816002,Gilbert
04013816302,Gilbert
04013815601,Gilbert
04013814801,Gilbert
04013815202,Gilbert
04013619602,Phoenix - Paradise Valley West
04013619601,Phoenix - Paradise Valley West
04013113701,Phoenix - Central East
04013061048,Avondale
04013114705,Phoenix - Maryvale
04013040534,Peoria
04013061051,Goodyear
04013216856,Fountain Hills
04013082213,Phoenix - Maryvale
04013216857,Fountain Hills
04013107401,Phoenix - West Uptown
04013107402,Phoenix - West Uptown
04013040533,Peoria
04013040535,Peoria
04013114704,Phoenix - Maryvale
04013216858,Scottsdale - North
04013216859,Scottsdale - North
04013817102,Queen Creek
04013216860,Scottsdale - North
04013216861,Scottsdale - North
04013422650,Mesa - Airport
04013816901,Queen Creek
04013817101,Queen Creek
04013817103,Queen Creek
04013816903,Queen Creek
04013107403,Phoenix - West Uptown
04013107404,Phoenix - West Uptown
04013615201,Phoenix - Paradise Valley Village
04013615202,Phoenix - Paradise Valley Village
04013614602,Phoenix - Deer Valley
04013612301,Phoenix - Happy Valley
04013050618,Buckeye
04013040537,Peoria
04013216855,Scottsdale - North
04013040540,Buckeye
04013050620,Buckeye
04013050616,Buckeye
04013610901,Peoria
04013061056,Litchfield
04013061054,Goodyear
04013061063,Avondale
04013061059,Surprise
04013061061,Surprise
04013050614,Buckeye
04013061055,Litchfield
04013061057,Goodyear
04013061060,Surprise
04013061058,Goodyear
04013109707,Phoenix - Maryvale
04013061062,Surprise
04013613602,Peoria
04013613601,Peoria
04013612402,Phoenix - Happy Valley
04013109402,Phoenix - Maryvale
04013615002,Phoenix - Paradise Valley Village
04013615001,Phoenix - Paradise Valley Village
04013617001,Phoenix - Paradise Valley West
04013614601,Phoenix - Deer Valley
04013612302,Phoenix - Happy Valley
04013216854,Scottsdale - North
04013610001,Phoenix - Happy Valley
04013612401,Phoenix - Happy Valley
04013422648,Mesa - Airport
04013112700,Phoenix - Maryvale
04013116734,Phoenix - South
04013112518,Phoenix - Maryvale
04013723310,Goodyear
04013319710,Tempe - North
04013319001,Tempe - North
04013112520,Phoenix - Maryvale
04013816001,Gilbert
04013112507,Phoenix - Maryvale
04013112508,Phoenix - Maryvale
04013112601,Phoenix - Maryvale
04013112602,Phoenix - Maryvale
04013113702,Phoenix - Central East
04013422226,Mesa - West
04013422224,Mesa - West
04013109706,Phoenix - Maryvale
04013050617,Buckeye
04013981000,Phoenix - Central East
04013050613,Buckeye
04013610903,Peoria
04013040532,Peoria
04013116736,Phoenix - South
04013061050,Goodyear
04013112516,Phoenix - Maryvale
04013816003,Gilbert
04013112517,Phoenix - Maryvale
04013523008,Chandler
04013523007,Chandler
04013116617,Phoenix - South
04013116738,Phoenix - South
04013980900,Goodyear
04013723309,Goodyear
04013116616,Phoenix - South
04013723311,Goodyear
04013116735,Phoenix - South
04013319708,Phoenix - South
04013040536,Peoria
04013116737,Phoenix - South
04013061052,Goodyear
04013116615,Phoenix - South
04013061049,Goodyear
04013050621,Buckeye
04013061064,Avondale
04013061053,Goodyear
04013050619,Buckeye
04013050615,Buckeye
04013319707,Tempe - South
04013319709,Phoenix - South
04013116614,Phoenix - South
04013610002,Phoenix - Happy Valley
04013050612,Buckeye
04013422227,Mesa - West
04013812802,Chandler
04013815602,Gilbert
04013816301,Gilbert
04013319002,Tempe - North
04013812801,Chandler
04013816501,Gilbert
04013815902,Gilbert
04013815901,Gilbert
04013610301,Phoenix - Happy Valley
04013319801,Tempe - South
04013319802,Tempe - North
04013816004,Gilbert
04013816402,Gilbert
04013816401,Gilbert
04013112519,Phoenix - Maryvale
04013420505,Mesa - West
04013420506,Mesa - West
04013112524,Phoenix - Maryvale
04013815402,Gilbert
04013815401,Gilbert
04013815502,Gilbert
04013815501,Gilbert
04013112521,Phoenix - Maryvale
04013422225,Mesa - West
04013422223,Mesa - West
